stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\x64\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.40874] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40889] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40895] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40902] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40907] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40915] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40920] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40927] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40933] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40940] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40948] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40955] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40961] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40968] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40974] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40981] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40987] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41007] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.41014] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41062] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.41069] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41077] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.41083] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41091] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.41096] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41104] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.41109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41117] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.41122] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.41130] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.41135] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.41143] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.41149] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41157] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.41162] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41170] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.41176] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41183] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.41189] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41196] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.41202] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41209] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.41215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41222] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.41228] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.41235] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.41241] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41256] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41266] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41273] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41280] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41286] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41293] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41299] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41307] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41313] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41320] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41326] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41333] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41339] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41348] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41354] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41361] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41367] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41374] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41380] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41387] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41394] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41401] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41414] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41420] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41427] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41440] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41450] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41457] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41463] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41473] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41480] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41487] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41493] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41500] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41506] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41513] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41519] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41526] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41539] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41546] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41553] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41566] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41572] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41579] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41585] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41592] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41598] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41606] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41612] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41619] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41625] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41632] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41638] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41646] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41652] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41659] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41673] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41680] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41687] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41700] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41706] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41714] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41720] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41727] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41740] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41747] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41754] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41760] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41767] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41773] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41780] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41786] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41793] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41799] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41806] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41812] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41819] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41825] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41832] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41838] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41847] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41859] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41865] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.41889] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41896] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.41903] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.41909] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
